Team,Wins,Penalties per Game,Penalty Yards per Game
Kansas City,15,5.5,60.6
San Francisco,15,5.5,54.3
Baltimore,14,5.2,54.3
Green Bay,14,4.8,47.2
New Orleans,13,7,64
New England,12,2.8,50.4
Seattle,12,5,57.9
Tennessee,11,4.3,55.9
Minnesota,11,4.5,52
Houston,11,3.8,55.5
Buffalo,10,5.8,58.3
LA Rams,9,3.2,56.2
Philadelphia,9,5.5,51.8
Dallas,8,7.5,63
Pittsburgh,8,5,55.8
Chicago,8,7.2,52.4
Tampa Bay,7,7.8,69.4
Atlanta,7,6,59.8
Indianapolis,7,6.5,41.9
Las Vegas,7,4.8,71.1
Denver,7,5.2,57
NY Jets,7,8,69.1
Cleveland,6,6.8,69.1
Jacksonville,6,7,72.8
Arizona,5,8,59.8
Carolina,5,6.8,47.1
LA Chargers,5,6.8,54.5
Miami,5,4,48.1
NY Giants,4,4,49
Detroit,3,6.8,58.6
Washington,3,4.8,52.2
Cincinnati,2,6.8,47.6
